Grab table?,Which Stations?,1st Destination,2nd Destination,3rd Destination,4th Destination,5th Destination,6th Destination,7th Destination,8th Destination,9th Destination,10th Destination,11th Destination,12th Destination,13th Destination,Leave line?,"If Yes, which station(s)?",More food?,"If Yes, which stations?"
Yes,"Global Market,Pizza,Salad Bar,Water/Juices",Global Market,Salad Bar,Water/Juices,Pizza,,,,,,,,,,No,,No,
No,"Special,Gluten Free,Water/Juices,Deli",Special,Gluten Free,Water/Juices,Deli,,,,,,,,,,No,,No,
Yes,"Grill,Gluten Free,Water/Juices",Gluten Free,Grill,Water/Juices,,,,,,,,,,,No,,No,
Yes,"Salad Bar,Drinks,Bread",Salad Bar,Drinks,Bread,,,,,,,,,,,Yes,"Salad Bar,Bread",Yes,
Yes,"Gluten Free,Salad Bar,Water/Juices",Gluten Free,Salad Bar,Water/Juices,,,,,,,,,,,No,,Yes,
Yes,"Family Meal,Special",Special,Family Meal,,,,,,,,,,,,No,,No,
Yes,"Family Meal,Special,Water/Juices",Family Meal,Special,Water/Juices,,,,,,,,,,,No,,Yes,"Water/Juices,"
Yes,"Grill,Pizza,Drinks",Grill,Pizza,Drinks,,,,,,,,,,,No,,No,
Yes,"Soups,Salad Bar,Water/Juices,Deli",Soups,Deli,Salad Bar,Water/Juices,,,,,,,,,,No,,No,
No,Salad Bar,Salad Bar,,,,,,,,,,,,,No,,No,
Yes,"Family Meal,Pizza,Gluten Free,Drinks,Fruit",Family Meal,Gluten Free,Pizza,Drinks,Fruit,,,,,,,,,No,,No,
No,"Grill,Salad Bar",Grill,Salad Bar,,,,,,,,,,,,No,,Yes,"Water/Juices,"
No,"Pizza,Salad Bar,Bread,",Pizza,Bread,Salad Bar,,,,,,,,,,,Yes,Pizza,Yes,Drinks
No,"Family Meal,Drinks,Fruit",Family Meal,Fruit,Drinks,,,,,,,,,,,No,,No,
No,"Grill,Special",Special,Grill,,,,,,,,,,,,No,,No,
Yes,"Global Market,Gluten Free,Salad Bar,Water/Juices",Global Market,Gluten Free,Salad Bar,Water/Juices,,,,,,,,,,Yes,Gluten Free,Yes,"Grill,Pizza,Salad Bar"
No,"Grill,Salad Bar,Drinks,Deli",Grill,Salad Bar,Deli,Drinks,,,,,,,,,,Yes,Family Meal,No,
No,"Special,Salad Bar,Deli",Special,Deli,Salad Bar,,,,,,,,,,,Yes,Gluten Free,Yes,"Drinks,"
No,"Global Market,Grill,Drinks",Global Market,Grill,Drinks,,,,,,,,,,,No,,Yes,"Gluten Free,"
Yes,"Family Meal,Special,Soups,Drinks,",Family Meal,Special,Soups,Drinks,,,,,,,,,,No,,No,
No,Special,Special,,,,,,,,,,,,,Yes,Grill,No,
